source,target,weight
上海,铜陵,0.002373685995252628
上海,银川,0.001017293997965412
上海,银川,0.00678195998643608
上海,银川,0.009494743981010512
上海,镇江,0.001017293997965412
上海,镇江,0.018989487962021025
上海,镇江,0.042726347914547304
上海,镇江,0.060698541878602914
上海,长春,0.003730077992539844
上海,长春,0.011190233977619531
上海,长春,0.01627670396744659
上海,长沙,0.007799253984401492
上海,长沙,0.021363173957273652
上海,长沙,0.04815191590369617
上海,长沙,0.05018650389962699
上海,阜阳,0.00169548999660902
上海,阜阳,0.003051881993896236
上海,阿拉善盟,0.0006781959986436081
上海,青岛,0.003730077992539844
上海,青岛,0.021363173957273652
上海,青岛,0.04984740590030519
上海,青岛,0.10410308579179382
上海,鞍山,0.00033909799932180403
上海,马鞍山,0.0013563919972872161
上海,马鞍山,0.007799253984401492
上海,马鞍山,0.01186842997626314
上海,鹤壁,0.00033909799932180403
上海,鹰潭,0.00169548999660902
上海,鹰潭,0.003730077992539844
上海,鹰潭,0.007799253984401492
上海,鹰潭,0.013903017972193964
上海,黄冈,0.00033909799932180403
上海,黄山,0.00339097999321804
上海,黄山,0.003730077992539844
上海,黄石,0.00033909799932180403
上海,黔东南苗族侗族自治州,0.00033909799932180403
上海,黔南布依族苗族自治州,0.0006781959986436081
上饶,九江,0.00033909799932180403
上饶,杭州,0.00033909799932180403
上饶,深圳,0.001017293997965412
上饶,芜湖,0.002373685995252628
上饶,芜湖,0.002373685995252628
上饶,芜湖,0.001017293997965412
上饶,芜湖,0.002373685995252628
上饶,赣州,0.01865038996269922
上饶,鹰潭,0.00033909799932180403
东莞,上海,0.009833841980332316
东莞,上海,0.00339097999321804
东莞,上海,0.012885723974228552
东莞,上海,0.012546625974906748
东莞,上饶,0.0
东莞,上饶,0.00033909799932180403
东莞,佛山,0.00033909799932180403
东莞,佛山,0.00033909799932180403
东莞,北京,0.00508646998982706
东莞,北京,0.006103763987792472
东莞,北京,0.003730077992539844
东莞,南京,0.0
东莞,南昌,0.0
东莞,南昌,0.0006781959986436081
东莞,合肥,0.00033909799932180403
东莞,吉安,0.0006781959986436081
东莞,嘉兴,0.0
东莞,嘉兴,0.00033909799932180403
东莞,宁波,0.00033909799932180403
东莞,宜春,0.0
东莞,宜春,0.00169548999660902
东莞,常州,0.00033909799932180403
东莞,广州,0.004408273991183452
东莞,广州,0.007460155985079688
东莞,广州,0.011190233977619531
东莞,广州,0.025771447948457104
东莞,惠州,0.00169548999660902
东莞,惠州,0.0013563919972872161
东莞,惠州,0.003051881993896236
东莞,成都,0.0
东莞,成都,0.0006781959986436081
东莞,新余,0.0
东莞,昌吉回族自治州,0.00033909799932180403
东莞,杭州,0.0006781959986436081
东莞,武汉,0.00033909799932180403
东莞,永州,0.00033909799932180403
东莞,深圳,0.02034587995930824
东莞,深圳,0.04001356391997287
东莞,深圳,0.09562563580874874
东莞,深圳,0.10308579179382842
东莞,珠海,0.00169548999660902
东莞,珠海,0.00169548999660902
东莞,苏州,0.00033909799932180403
东莞,苏州,0.004408273991183452
东莞,苏州,0.00508646998982706
东莞,衡阳,0.0
东莞,郑州,0.0006781959986436081
东莞,鄂尔多斯,0.00033909799932180403
东莞,重庆,0.00033909799932180403
东莞,重庆,0.00033909799932180403
东莞,重庆,0.0006781959986436081
东莞,长沙,0.002034587995930824
东莞,青岛,0.00033909799932180403
东莞,韶关,0.0013563919972872161
东营,上海,0.00339097999321804
东营,上海,0.0
东营,滨州,0.00169548999660902
东营,石家庄,0.00033909799932180403
东营,青岛,0.0013563919972872161
东营,青岛,0.0013563919972872161
东营,青岛,0.002034587995930824
中卫,三门峡,0.00033909799932180403
中卫,吴忠,0.004408273991183452
中卫,无锡,0.001017293997965412
